Year,Status,Life Expectancy,Adult Mortality,Infant Deaths,Alcohol,Percentage Expenditure,Hepatitis B,Measles,BMI,Under-Five Deaths,Polio,Health Expenditure,Diphtheria,HIV/AIDS,GDP,Population,Income Composition of Resources,Schooling,Thinness 5-19 Years
2015,Developing,65.0,263.0,62,0.01,71.28,65.0,1154,Normal,83,6.0,8.16,65.0,0.1,584.259,33736494.0,0.479,10.1,34.5
2014,Developing,59.9,271.0,64,0.01,73.524,62.0,492,Normal,86,58.0,8.18,62.0,0.1,612.697,327582.0,0.476,10.0,35.0
2013,Developing,59.9,268.0,66,0.01,73.219,64.0,430,Underweight,89,62.0,8.13,64.0,0.1,631.745,31731688.0,0.47,9.9,35.4
2012,Developing,59.5,272.0,69,0.01,78.184,67.0,2787,Underweight,93,67.0,8.52,67.0,0.1,669.959,3696958.0,0.463,9.8,35.9
2011,Developing,59.2,275.0,71,0.01,7.097,68.0,3013,Underweight,97,68.0,7.87,68.0,0.1,63.537,2978599.0,0.454,9.5,36.4
2010,Developing,58.8,279.0,74,0.01,79.679,66.0,1989,Underweight,102,66.0,9.2,66.0,0.1,553.329,2883167.0,0.448,9.2,36.8
2009,Developing,58.6,281.0,77,0.01,56.762,63.0,2861,Underweight,106,63.0,9.42,63.0,0.1,445.893,284331.0,0.434,8.9,37.3
2008,Developing,58.1,287.0,80,0.03,25.874,64.0,1599,Underweight,110,64.0,8.33,64.0,0.1,373.361,2729431.0,0.433,8.7,37.7
2007,Developing,57.5,295.0,82,0.02,10.91,63.0,1141,Underweight,113,63.0,6.73,63.0,0.1,369.836,26616792.0,0.415,8.4,38.1
2006,Developing,57.3,295.0,84,0.03,17.172,64.0,1990,Underweight,116,58.0,7.43,58.0,0.1,272.564,2589345.0,0.405,8.1,38.5
2005,Developing,57.3,291.0,85,0.02,1.389,66.0,1296,Underweight,118,58.0,8.7,58.0,0.1,25.294,257798.0,0.396,7.9,38.8
2004,Developing,57.0,293.0,87,0.02,15.296,67.0,466,Underweight,120,5.0,8.79,5.0,0.1,219.141,24118979.0,0.381,6.8,39.2
2003,Developing,56.7,295.0,87,0.01,11.089,65.0,798,Underweight,122,41.0,8.82,41.0,0.1,198.729,2364851.0,0.373,6.5,39.599999999999994
2002,Developing,56.2,3.0,88,0.01,16.887,64.0,2486,Underweight,122,36.0,7.76,36.0,0.1,187.846,21979923.0,0.341,6.2,22.099999999999998
2001,Developing,55.3,316.0,88,0.01,10.575,63.0,8762,Underweight,122,35.0,7.8,33.0,0.1,117.497,2966463.0,0.34,5.9,4.5
2000,Developing,54.8,321.0,88,0.01,10.425,62.0,6532,Underweight,122,24.0,8.2,24.0,0.1,114.56,293756.0,0.338,5.5,4.8
2015,Developing,77.8,74.0,0,4.6,364.975,99.0,0,Obese,0,99.0,6.0,99.0,0.1,3954.228,28873.0,0.762,14.2,2.5
2014,Developing,77.5,8.0,0,4.51,428.749,98.0,0,Obese,1,98.0,5.88,98.0,0.1,4575.764,288914.0,0.761,14.2,2.5
2013,Developing,77.2,84.0,0,4.76,430.877,99.0,0,Obese,1,99.0,5.66,99.0,0.1,4414.723,289592.0,0.759,14.2,2.7
2012,Developing,76.9,86.0,0,5.14,412.443,99.0,9,Obese,1,99.0,5.59,99.0,0.1,4247.614,2941.0,0.752,14.2,2.7
2011,Developing,76.6,88.0,0,5.37,437.062,99.0,28,Obese,1,99.0,5.71,99.0,0.1,4437.179,295195.0,0.738,13.3,2.9
2010,Developing,76.2,91.0,1,5.28,41.823,99.0,10,Obese,1,99.0,5.34,99.0,0.1,494.359,291321.0,0.725,12.5,2.9
2009,Developing,76.1,91.0,1,5.79,348.056,98.0,0,Obese,1,98.0,5.79,98.0,0.1,4114.137,2927519.0,0.721,12.2,3.1
2008,Developing,75.3,1.0,1,5.61,36.622,99.0,0,Obese,1,99.0,5.87,99.0,0.1,437.54,2947314.0,0.713,12.0,3.2
2007,Developing,75.9,9.0,1,5.58,32.247,98.0,22,Obese,1,99.0,6.1,98.0,0.1,363.137,29717.0,0.703,11.6,3.3
2006,Developing,74.2,99.0,1,5.31,3.302,98.0,68,Underweight,1,97.0,5.86,97.0,0.1,35.129,2992547.0,0.696,11.4,3.5
2005,Developing,73.5,15.0,1,5.16,26.993,98.0,6,Obese,1,97.0,6.12,98.0,0.1,279.143,311487.0,0.685,10.8,3.6
2004,Developing,73.0,17.0,1,4.54,221.843,99.0,7,Obese,1,98.0,6.38,97.0,0.1,2416.588,326939.0,0.681,10.9,3.7
2003,Developing,72.8,18.0,1,4.29,14.719,97.0,8,Obese,1,97.0,6.27,97.0,0.1,189.682,339616.0,0.674,10.7,3.9
2002,Developing,73.3,15.0,1,3.73,104.517,96.0,16,Obese,1,98.0,6.3,98.0,0.1,1453.643,3511.0,0.67,10.7,4.1
2001,Developing,73.6,14.0,1,4.25,96.206,96.0,18,Obese,1,97.0,6.0,97.0,0.1,1326.973,36173.0,0.662,10.6,4.2
2000,Developing,72.6,11.0,1,3.66,91.712,96.0,662,Obese,1,97.0,6.26,97.0,0.1,1175.789,38927.0,0.656,10.7,4.300000000000001
2014,Developing,75.4,11.0,21,0.01,54.237,95.0,0,Obese,24,95.0,7.21,95.0,0.1,547.852,39113313.0,0.741,14.4,11.8
2013,Developing,75.3,112.0,21,0.53,544.451,95.0,25,Obese,24,95.0,7.12,95.0,0.1,5471.867,38338562.0,0.737,14.4,11.7
